Date,Open,High,Low,Close,Volume,SMA_5,SMA_10,EMA_12,EMA_26,MACD,MACD_Signal,RSI,Daily_Return,Volatility,Close_Lag_1,Return_Lag_1,Close_Lag_2,Return_Lag_2,Close_Lag_3,Return_Lag_3,Close_Lag_5,Return_Lag_5,DailySentiment,SentimentCount,Future_Close,Future_Return,Movement
2023-07-25,437.98065907357346,438.54229846680687,426.27995740690307,432.7387390136719,43534718,448.38959350585935,445.2959228515625,442.99656982780783,435.6792956268508,7.317274200957058,8.565656733640726,40.697688744916555,-0.01920011454207038,0.015181957689131505,441.21002197265625,-0.038943873065026,459.0887145996094,-0.003454260036541812,460.6800231933594,0.027774895531037957,442.2864990234375,0.00031749879419473714,0.0,0,442.0524597167969,0.021522733842487683,Up
2023-07-26,435.1724421900789,442.7545017385811,432.5046767940663,442.0524597167969,18143422,447.15399169921875,445.29124450683594,442.8513221184114,436.15139173454605,6.6999303838653645,8.192511463685642,48.93614785087614,0.021522733842487707,0.015771187745500976,432.7387390136719,-0.01920011454207038,441.21002197265625,-0.038943873065026,459.0887145996094,-0.003454260036541812,448.23046875,0.0134391841932473,0.0,0,435.3128662109375,-0.015246139587543816,Neutral
2023-07-27,444.0649962245891,444.76703828077245,431.61546185473736,435.3128662109375,13989457,442.0805603027344,444.64068603515625,441.6915596710394,436.0892775293102,5.602282141729177,7.674465599294338,47.88642468971249,-0.015246139587543839,0.016204808267049568,442.0524597167969,0.021522733842487707,432.7387390136719,-0.01920011454207038,441.21002197265625,-0.038943873065026,460.6800231933594,0.027774895531037957,0.0,0,438.4954528808594,0.007311032861545847,Neutral
2023-07-28,437.79341086764384,439.43150889848,433.7683528521775,438.4954528808594,9978231,437.9619079589844,444.22413635253906,441.1998509340641,436.2675159381647,4.932334995899396,7.126039478615341,51.62295136681371,0.007311032861545774,0.016236635366518565,435.3128662109375,-0.015246139587543839,442.0524597167969,0.021522733842487707,432.7387390136719,-0.01920011454207038,459.0887145996094,-0.003454260036541812,0.0,0,435.9213562011719,-0.005870292753952206,Neutral
2023-07-31,439.01033003937465,439.6655807644075,433.8620212649257,435.9213562011719,8194797,436.9041748046875,443.60166015625,440.3877748212772,436.2418740502208,4.145900771056404,6.530011737103544,45.069519962715546,-0.005870292753952233,0.0153070853007795,438.4954528808594,0.007311032861545774,435.3128662109375,-0.015246139587543839,442.0524597167969,0.021522733842487707,441.21002197265625,-0.038943873065026,0.0,0,435.078857421875,-0.0019326852591917362,Neutral
2023-08-01,436.20213615173594,438.8699017105321,434.1428013357125,435.078857421875,6438221,437.3721984863281,442.8808959960937,439.5710182982631,436.1557233452757,3.415294952987381,5.907068380280304,45.039704957707556,-0.0019326852591917687,0.015241124346876233,435.9213562011719,-0.005870292753952233,438.4954528808594,0.007311032861545774,435.3128662109375,-0.015246139587543839,432.7387390136719,-0.01920011454207038,0.0,0,430.6794128417969,-0.01011183261385693,Neutral
2023-08-02,434.8916652479663,435.07885932631933,428.7136893390182,430.6794128417969,10318220,435.09758911132815,441.12579040527345,438.20307899722695,435.7500649382079,2.45301405901904,5.216257516028045,42.562516963388425,-0.010111832613856953,0.014723513566022587,435.078857421875,-0.0019326852591917687,435.9213562011719,-0.005870292753952233,438.4954528808594,0.007311032861545774,442.0524597167969,0.021522733842487707,0.0,0,426.8883972167969,-0.008802407340497996,Neutral
2023-08-03,430.6794417767474,434.0960410225052,425.2502989487874,426.8883972167969,10617897,433.4126953125,437.7466278076172,436.4623587232701,435.093636450955,1.3687222723150967,4.44675046728545,39.86769295072087,-0.008802407340497975,0.014813163457209403,430.6794128417969,-0.010111832613856953,435.078857421875,-0.0019326852591917687,435.9213562011719,-0.005870292753952233,435.3128662109375,-0.015246139587543839,0.0,0,425.85870361328125,-0.0024120908655024683,Neutral
2023-08-04,427.122356404822,431.8962478860572,425.20345296375683,425.85870361328125,6834401,430.8853454589844,434.4236267089844,434.8310271678519,434.4095589994308,0.4214681684210859,3.6416940075125734,39.605702796165,-0.0024120908655024254,0.01463485891162921,426.8883972167969,-0.008802407340497975,430.6794128417969,-0.010111832613856953,435.078857421875,-0.0019326852591917687,438.4954528808594,0.007311032861545774,0.0,0,425.8118896484375,-0.00010992839748617976,Neutral
2023-08-07,425.0630562380391,427.35637641123634,422.11448540612065,425.8118896484375,9161131,428.8634521484375,432.8838134765625,433.4434675494551,433.7726874030017,-0.32921985354664685,2.847511235300726,39.47366779032819,-0.00010992839748613648,0.01460496331876498,425.85870361328125,-0.0024120908655024254,426.8883972167969,-0.008802407340497975,430.6794128417969,-0.010111832613856953,435.9213562011719,-0.005870292753952233,0.0,0,423.42498779296875,-0.005605531253341575,Neutral
